,tconst,director(s),cast
122,tt10199590,['Ladj Ly'],"['Damien Bonnard', 'Alexis Manenti', 'Djebril Zonga', 'Issa Perica']"
123,tt10199640,['Kantemir Balagov'],"['Viktoria Miroshnichenko', 'Vasilisa Perelygina', 'Andrey Bykov', 'Igor Shirokov']"
124,tt10199644,['Jonathan Frakes'],"['Anthony Rapp', 'Doug Jones', 'Sonequa Martin-Green', 'Mary Wiseman']"
125,tt10199914,['Joe Mantello'],"['Andrew Rannells', 'Zachary Quinto', 'Matt Bomer', 'Jim Parsons']"
126,tt10199974,['Prakash Jha'],"['Adil Hussain', 'Priyanka Bose', 'Shourya Deep', 'Shubham']"
127,tt10204366,['Nicolas Boukhrief'],"['Sandrine Bonnaire', 'Charles Berling', 'Philippe Torreton', 'Pablo Pauly']"
128,tt10204940,['Nicolas Vanier'],"['Frédéric Saurel', 'Mélanie Doutey', 'Jean-Paul Rouve', 'Louis Vazquez']"
129,tt10208194,['Werner Herzog'],"['Ishii Yuichi', 'Mahiro Tanimoto', 'Miki Fujimaki', 'Takashi Nakatani']"
130,tt10208198,['Won-Tae Lee'],"['Ma Dong-seok', 'Mu-Yeol Kim', 'Kim Sungkyu', 'Bae-soo Jeon']"
131,tt10213354,['Kim Nguyen'],"['R.H. Thomson', 'Geraldine James', 'Amybeth McNulty', 'Lucas Jade Zumann']"
132,tt10214826,['Swaroop Rsj'],"['Darbha Appaji Ambarisha', 'Shruti Sharma', 'Naveen Polishetty', 'Shredha Rajagopalan']"
133,tt10217550,['Srijit Mukherji'],"['Anirban Bhattacharya', 'Ritwick Chakraborty', 'Rudranil Ghosh', 'Gautam Moitra']"
134,tt10218664,['Andrew Lau'],"['Quan Yuan', 'Hanyu Zhang', 'Hao Ou', 'Jiang Du']"
135,tt10224134,['David Winning'],"['Sarah Strange', 'Erin Krakow', 'Ryan Paevey', ""Kevin O'Grady""]"
136,tt10228168,['Takashi Miike'],"['Bengal', 'Becky', 'Masayuki Deai', 'Mami Fujioka']"
137,tt10228204,['Erwan Le Duc'],"['Fanny Ardant', 'Swann Arlaud', 'Nicolas Maury', 'Maud Wyler']"
138,tt10229558,['Bryan Bertino'],"['Marin Ireland', 'Michael Abbott Jr.', 'Julie Oliver-Touchstone', 'Lynn Andrews']"
139,tt10229598,"[""Barnaby O'Connor"", ""Matthew O'Connor""]",['Nikolaos Brahimllari']
140,tt10230404,"['Karan Johar', 'Anurag Kashyap', 'Dibakar Banerjee', 'Zoya Akhtar']","['Surekha Sikri', 'Amruta Subhash', 'Janhvi Kapoor', 'Vijay Varma']"
141,tt10230414,['Sudhir Mishra'],"['Nassar', 'Nawazuddin Siddiqui', 'Aakshath Das', 'Indira Tiwari']"
142,tt10230422,['Atul Sabharwal'],"['Bobby Deol', 'Joy Sengupta', 'Anup Soni', 'Hitesh Bhojraj']"
143,tt10230426,['Shirish Kunder'],"['Manoj Bajpayee', 'Jacqueline Fernandez', 'Mohit Raina', 'Zayn Marie Khan']"
144,tt10230436,['Sooni Taraporevala'],"['Julian Sands', 'Vijay Maurya', 'Jim Sarbh', 'Sarah Jane Dias']"
145,tt10233864,['Ed Fraiman'],"['Eliza Taylor', 'Bob Morley', 'Marie Avgeropoulos', 'Lindsey Morgan']"
146,tt10240612,['Bobby Miller'],"['Tashiana Washington', 'Ava Preston', 'Jack Fulton', 'Jaeden Noel']"
