,index,tconst,titleType,primaryName,originalName,isAdult,yearOfRelease,Duration,genres,averageRating,numVotes
136,1000428,tt6452574,movie,Sanju,Sanju,False,2018,155,"Biography,Comedy,Drama",7.7,48011
137,1049725,tt7517318,tvEpisode,Episode #1.6,Episode #1.6,False,2018,75,"Crime,Drama,Thriller",8.5,3596
138,1049724,tt7517316,tvEpisode,Episode #1.1,Episode #1.1,False,2018,58,"Crime,Drama,Thriller",8.4,4221
139,1050276,tt7527694,movie,Pickpockets,Pickpockets: Maestros del robo,False,2018,108,"Crime,Drama",5.4,1048
140,1034895,tt7170950,movie,Like Father,Like Father,False,2018,98,"Comedy,Drama",6.1,19461
141,1038200,tt7238392,movie,Taxi 5,Taxi 5,False,2018,102,"Action,Adventure,Comedy",4.7,8331
142,1038202,tt7238396,tvEpisode,Halibut!,Halibut!,False,2018,34,"Comedy,Horror",9.2,1169
143,1034698,tt7166218,tvEpisode,The Fury of Iron Fist,The Fury of Iron Fist,False,2018,57,"Action,Adventure,Crime",7.3,1850
144,1012164,tt6713048,tvEpisode,No Family Is Perfect,No Family Is Perfect,False,2018,29,"Comedy,Horror",8.3,1043
145,1058761,tt7709702,tvEpisode,North of the Border,North of the Border,False,2018,31,"Comedy,Drama,Music",9.0,1707
146,1019111,tt6846432,movie,Yomeddine,Yomeddine,False,2018,97,"Adventure,Comedy,Drama",7.3,1468
147,1038399,tt7241926,movie,Tell It to the Bees,Tell It to the Bees,False,2018,108,"Drama,Romance",6.2,3607
148,1018977,tt6843812,movie,Baaghi 2,Baaghi 2,False,2018,137,"Action,Thriller",4.8,9296
149,1050041,tt7523180,movie,Before the Frost,Før frosten,False,2018,104,Drama,6.8,1028
150,1050028,tt7523010,movie,Koode,Koode,False,2018,155,"Drama,Fantasy",7.6,1985
151,1049922,tt7521330,tvEpisode,Ace Degenerate,Ace Degenerate,False,2018,28,"Action,Comedy,Drama",8.6,4015
152,1034758,tt7167630,movie,Batman: Gotham by Gaslight,Batman: Gotham by Gaslight,False,2018,78,"Action,Adventure,Animation",6.7,13889
153,1025912,tt6984258,movie,The Amityville Murders,The Amityville Murders,False,2018,97,Horror,4.7,1744
154,1000556,tt6456222,movie,Nostalgia,Nostalgia,False,2018,114,Drama,5.6,1052
155,1025774,tt6981702,movie,Empowered,Sin rodeos,False,2018,87,Comedy,5.8,1955
156,1025785,tt6982104,movie,Put Grandma in the Freezer,Metti la nonna in freezer,False,2018,100,Comedy,6.0,1980
157,1018858,tt6842126,movie,Don't Leave Home,Don't Leave Home,False,2018,86,"Horror,Mystery,Thriller",5.0,1268
158,1057623,tt7688206,tvEpisode,Touch,Touch,False,2018,53,"Drama,Horror,Mystery",8.7,7062
159,1038333,tt7241050,tvEpisode,Mandatory,Mandatory,False,2018,26,"Drama,Mystery,Thriller",7.5,1277
160,1038311,tt7240478,movie,The Necromancer,The Necromancer,False,2018,88,Horror,5.3,1269
161,990881,tt6275262,movie,Vodka Diaries,Vodka Diaries,False,2018,120,"Mystery,Thriller",5.6,1249
162,1049527,tt7512746,tvEpisode,Cure,Cure,False,2018,43,"Crime,Drama,Mystery",7.6,1055
163,1019374,tt6850820,movie,Peppermint,Peppermint,False,2018,101,"Action,Drama,Thriller",6.5,58009
164,1050663,tt7535386,tvEpisode,The True Seeing Is Within,The True Seeing Is Within,False,2018,44,"Drama,Family",8.9,1504
165,1049526,tt7512744,tvEpisode,Bad Moon on the Rise,Bad Moon on the Rise,False,2018,41,"Crime,Drama,Mystery",7.8,1204
166,748911,tt2328900,movie,Mary Queen of Scots,Mary Queen of Scots,False,2018,124,"Biography,Drama,History",6.3,43263
167,986500,tt6204018,movie,Ted - Show Me Love,Ted - För kärlekens skull,False,2018,120,"Biography,Drama,Music",7.0,2962
168,1000973,tt6464568,tvEpisode,Necromancing the Stone,Necromancing the Stone,False,2018,42,"Action,Adventure,Drama",8.3,1519
169,1038057,tt7236034,movie,I Want to Eat Your Pancreas,Kimi no suizô o tabetai,False,2018,109,"Animation,Drama,Family",7.9,8591
170,1000971,tt6464564,tvEpisode,"I, Ava","I, Ava",False,2018,42,"Action,Adventure,Drama",8.1,1476
171,1050621,tt7534150,movie,Our Happy Holiday,Premières vacances,False,2018,102,Comedy,6.0,1189
172,999934,tt6443294,movie,Blaze,Blaze,False,2018,129,"Biography,Drama,Music",6.6,2850
173,1050630,tt7534314,movie,Niet Schieten,Niet Schieten,False,2018,139,Drama,7.6,1490
174,1025309,tt6973218,tvEpisode,Grow Fast or Die Slow,Grow Fast or Die Slow,False,2018,32,Comedy,8.0,1311
175,1058860,tt7712166,tvEpisode,Deseo,Deseo,False,2018,49,"Crime,Drama,Thriller",7.8,1161
176,999767,tt6439890,tvEpisode,Katie Girls,Katie Girls,False,2018,43,"Comedy,Drama,Romance",8.6,1163
177,999769,tt6439894,tvEpisode,Toby,Toby,False,2018,43,"Comedy,Drama,Romance",8.3,1020
178,999770,tt6439896,tvEpisode,Kamsahamnida,Kamsahamnida,False,2018,43,"Comedy,Drama,Romance",8.5,1022
179,999771,tt6439898,tvEpisode,Sometimes,Sometimes,False,2018,43,"Comedy,Drama,Romance",8.5,1030
180,999772,tt6439900,tvEpisode,Vietnam,Vietnam,False,2018,43,"Comedy,Drama,Romance",8.1,1286
181,1050729,tt7536386,tvEpisode,Islands: Part Two,Islands: Part Two,False,2018,43,Drama,8.2,1667
182,1038025,tt7235038,movie,Boo!,Boo!,False,2018,91,"Drama,Horror,Mystery",3.6,1075
183,1049463,tt7510798,movie,Maari 2,Maari 2,False,2018,143,"Action,Comedy",5.6,2194
184,1025259,tt6972140,movie,Blackmail,Blackmail,False,2018,138,"Comedy,Thriller",7.1,9398
185,1050604,tt7534068,movie,The Trouble with You,En liberté!,False,2018,108,"Comedy,Crime,Drama",6.2,3022
186,1061628,tt7779590,movie,Euphoria,Euforia,False,2018,115,Drama,6.4,1125
187,1000959,tt6464532,tvEpisode,The Curse of the Earth Totem,The Curse of the Earth Totem,False,2018,42,"Action,Adventure,Drama",7.8,1500
188,1050437,tt7531138,movie,Only You,Only You,False,2018,119,"Drama,Romance",6.8,2173
189,1049646,tt7515456,movie,Mission of Honor,Hurricane,False,2018,107,"Action,Drama,War",5.9,4285
190,1050428,tt7530986,movie,Lady J,Mademoiselle de Joncquières,False,2018,109,"Drama,Romance",6.9,2774
191,1000962,tt6464540,tvEpisode,Amazing Grace,Amazing Grace,False,2018,42,"Action,Adventure,Drama",7.6,1459
192,986449,tt6203302,movie,The Villain,The Villain,False,2018,176,"Action,Thriller",5.5,1593
193,1012075,tt6710826,movie,The Jurassic Games,The Jurassic Games,False,2018,86,"Action,Adventure,Horror",3.8,2308
194,1058861,tt7712236,tvEpisode,Sábado noche,Sábado noche,False,2018,53,"Crime,Drama,Thriller",8.1,1098
195,1000970,tt6464562,tvEpisode,Here I Go Again,Here I Go Again,False,2018,42,"Action,Adventure,Drama",9.0,2195
196,1050603,tt7534054,movie,Sorry Angel,"Plaire, aimer et courir vite",False,2018,132,"Drama,Romance",6.8,2967
197,1058646,tt7707314,movie,Lionheart,Lionheart,False,2018,95,Comedy,5.7,1319
198,1000969,tt6464560,tvEpisode,No Country for Old Dads,No Country for Old Dads,False,2018,42,"Action,Adventure,Drama",8.2,1484
199,1019276,tt6849500,tvEpisode,June,June,False,2018,56,"Drama,Sci-Fi,Thriller",8.9,4182
200,1000966,tt6464552,tvEpisode,Daddy Darhkest,Daddy Darhkest,False,2018,42,"Action,Adventure,Drama",8.4,1697
201,1018654,tt6838702,movie,Rolling to You,Tout le monde debout,False,2018,107,"Comedy,Romance",6.5,4056
202,1038099,tt7236582,tvEpisode,Rough Ride,Rough Ride,False,2018,33,"Comedy,Drama,Sport",7.8,1323
203,1009418,tt6652708,movie,God's Not Dead: A Light in Darkness,God's Not Dead: A Light in Darkness,False,2018,105,Drama,4.5,3425
204,1050491,tt7531990,movie,Görevimiz Tatil,Görevimiz Tatil,False,2018,110,Comedy,4.8,1703
205,999990,tt6444140,movie,Time Share,Tiempo compartido,False,2018,96,"Drama,Mystery,Thriller",6.0,2402
206,1022578,tt6915100,movie,Pope Francis: A Man of His Word,Pope Francis: A Man of His Word,False,2018,96,"Biography,Documentary",6.3,2067
207,1036553,tt7208564,movie,Blood Fest,Blood Fest,False,2018,92,"Comedy,Horror",5.4,4701
208,1054101,tt7607940,movie,Namaste England,Namaste England,False,2018,141,"Comedy,Drama,Romance",2.3,2533
209,1021140,tt6884200,movie,A Kid Like Jake,A Kid Like Jake,False,2018,92,Drama,5.4,3096
210,1022471,tt6912900,tvEpisode,Kill All Others,Kill All Others,False,2018,48,Sci-Fi,7.4,1836
211,1022482,tt6913168,movie,Belleville Cop,Le flic de Belleville,False,2018,111,"Comedy,Crime",4.8,1918
212,1054130,tt7608280,tvEpisode,Maybe,Maybe,False,2018,43,"Crime,Drama,Romance",7.9,2979
213,1054129,tt7608276,tvEpisode,The Last Nice Guy In New York,The Last Nice Guy In New York,False,2018,45,"Crime,Drama,Romance",8.1,3194
214,1022551,tt6914542,movie,The Drug King,Ma-yak-wang,False,2018,139,"Action,Crime,Drama",6.2,2405
215,1054108,tt7608028,movie,The Open House,The Open House,False,2018,94,"Horror,Thriller",3.2,31600
216,1022629,tt6916362,movie,Journal 64,Journal 64,False,2018,119,"Crime,Mystery,Thriller",7.4,13165
217,1053951,tt7604296,tvEpisode,Woods,Woods,False,2018,27,"Comedy,Drama,Music",8.9,1827
218,1134985,tt9866700,movie,Paranormal Investigation,Paranormal Investigation,False,2018,92,"Horror,Thriller",3.7,1374
219,1054012,tt7605922,movie,My Masterpiece,Mi obra maestra,False,2018,100,"Comedy,Drama",7.1,5126
220,1011512,tt6697582,movie,Arif V 216,Arif V 216,False,2018,125,"Comedy,Fantasy,Music",7.1,33367
221,997144,tt6391128,tvEpisode,A New God,A New God,False,2018,44,"Action,Adventure,Drama",7.2,2656
222,997145,tt6391130,tvEpisode,Hell,Hell,False,2018,44,"Action,Adventure,Drama",8.7,3445
223,1021206,tt6885528,tvEpisode,The Salem Witch Hunt,The Salem Witch Hunt,False,2018,43,"Action,Adventure,Drama",8.4,1142
224,997146,tt6391136,tvEpisode,The Lost Moment,The Lost Moment,False,2018,44,"Action,Adventure,Drama",7.2,2573
225,1054260,tt7611838,tvEpisode,Abraham Stern (No. 100),Abraham Stern (No. 100),False,2018,42,"Crime,Drama,Mystery",8.7,1057
226,1021205,tt6885524,tvEpisode,Hollywoodland,Hollywoodland,False,2018,43,"Action,Adventure,Drama",8.6,1312
227,1021204,tt6885522,tvEpisode,The War to End All Wars,The War to End All Wars,False,2018,42,"Action,Adventure,Drama",8.5,1444
228,1022409,tt6911608,movie,Mamma Mia! Here We Go Again,Mamma Mia! Here We Go Again,False,2018,114,"Comedy,Musical,Romance",6.6,81838
229,1021203,tt6885520,tvEpisode,The Darlington 500,The Darlington 500,False,2018,43,"Action,Adventure,Drama",8.3,1221
230,1054238,tt7611364,tvEpisode,Next of Kin,Next of Kin,False,2018,44,"Action,Drama,Thriller",8.3,1034
231,985852,tt6190456,movie,X - The eXploited,X.,False,2018,114,"Crime,Thriller",6.5,1340
